[17:14:40] GET http://localhost:8001/api/profiles/raw?t=1777376679845 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:14:43] GET http://localhost:8001/api/dashboard/drip?t=1777376679845 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:15:39] GET http://localhost:8001/api/profiles/raw?t=1777376739858 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:15:43] GET http://localhost:8001/api/dashboard/drip?t=1777376739858 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:16:40] GET http://localhost:8001/api/profiles/raw?t=1777376799851 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:16:43] GET http://localhost:8001/api/dashboard/drip?t=1777376799851 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:17:40] GET http://localhost:8001/api/profiles/raw?t=1777376859847 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:17:43] GET http://localhost:8001/api/dashboard/drip?t=1777376859847 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:18:39] GET http://localhost:8001/api/profiles/raw?t=1777376919851 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:18:45] GET http://localhost:8001/api/dashboard/drip?t=1777376919851 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:19:40] GET http://localhost:8001/api/profiles/raw?t=1777376979860 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:19:43] GET http://localhost:8001/api/dashboard/drip?t=1777376979860 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:20:39] GET http://localhost:8001/api/profiles/raw?t=1777377039843 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:20:42] GET http://localhost:8001/api/dashboard/drip?t=1777377039843 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:21:40] GET http://localhost:8001/api/profiles/raw?t=1777377099867 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:21:44] GET http://localhost:8001/api/dashboard/drip?t=1777377099867 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:22:39] GET http://localhost:8001/api/profiles/raw?t=1777377159849 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:22:42] GET http://localhost:8001/api/dashboard/drip?t=1777377159849 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:23:40] GET http://localhost:8001/api/profiles/raw?t=1777377219854 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:23:47] GET http://localhost:8001/api/dashboard/drip?t=1777377219854 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:24:39] GET http://localhost:8001/api/profiles/raw?t=1777377279842 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:24:42] GET http://localhost:8001/api/dashboard/drip?t=1777377279842 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[17:25:40] GET http://localhost:8001/api/profiles/raw?t=1777377339856 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
